pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num
../data/field_madrid_harvesting/2016_504/P1130282.JPG,madrid,213887,28689,839,142,Rocio,339,b5,i,i,1
../data/field_madrid_harvesting/2016_504/P1130295.JPG,madrid,119293,10842,381,73,Rocio,339,c7,r,i,1
../data/field_madrid_harvesting/2016_504/P1130307.JPG,madrid,71252,7998,210,60,Rocio,339,e2,r,i,1
../data/field_madrid_harvesting/2016_504/P1130380.JPG,madrid,231116,34605,1317,130,Rocio,337,b7,i,i,1
../data/field_madrid_harvesting/2016_504/P1130401.JPG,madrid,342278,43433,1692,194,Rocio,337,d2,i,i,1
../data/field_madrid_harvesting/2016_504/P1130425.JPG,madrid,213914,30451,1021,97,Rocio,336,a5,i,i,1
../data/field_madrid_harvesting/2016_504/P1130515.JPG,madrid,176296,25166,618,77,Rocio,248,d4,i,i,1
../data/field_madrid_harvesting/2016_504/P1130532.JPG,madrid,75492,11128,339,53,Rocio,248,c8,r,i,1
../data/field_madrid_harvesting/2016_504/P1130569.JPG,madrid,307678,41170,1938,189,Rocio,186,c2,i,p,2
../data/field_madrid_harvesting/2016_504/P1130575.JPG,madrid,253050,33275,1107,231,Rocio,186,d2,i,p,1
../data/field_madrid_harvesting/2016_504/P1130593.JPG,madrid,496848,47456,2353,403,Rocio,181,c6,i,p,1
../data/field_madrid_harvesting/2016_504/P1130605.JPG,madrid,484425,45722,3118,510,Rocio,181,e7,i,p,1
../data/field_madrid_harvesting/2016_504/P1130611.JPG,madrid,676302,74874,6028,594,Rocio,178,b4,i,p,15
../data/field_madrid_harvesting/2016_504/P1130613.JPG,madrid,683866,77511,6333,607,Rocio,178,c6,i,p,5
../data/field_madrid_harvesting/2016_504/P1130621.JPG,madrid,582489,59839,4977,597,Rocio,178,d5,i,p,11
../data/field_madrid_harvesting/2016_504/P1130623.JPG,madrid,857942,80690,6103,906,Rocio,178,e4,i,p,2
../data/field_madrid_harvesting/2016_504/P1130641.JPG,madrid,406547,41725,3184,457,Rocio,179,b8,i,p,1
../data/field_madrid_harvesting/2016_504/P1130649.JPG,madrid,470579,50705,5015,482,Rocio,179,d2,i,p,19
../data/field_madrid_harvesting/2016_504/P1130651.JPG,madrid,555497,58056,5587,544,Rocio,179,d5,i,p,24
../data/field_madrid_harvesting/2016_504/P1130667.JPG,madrid,615992,60924,5353,608,Rocio,180,b3,i,p,6
../data/field_madrid_harvesting/2016_504/P1130671.JPG,madrid,289493,27943,1849,339,Rocio,180,b8,i,p,1
